observacao_id,objeto_id,amostra_codigo,profund_sup,profund_inf,solidos_totais,volume_agua,areia_total,argila_total
unidade,-,-,cm,cm,g/L,mL,g/kg,g/kg
convencional,suspensão,Entrada: 2g/L; Repetição: 1,-,-,"1,16",-,-,-
convencional,suspensão,Entrada: 2g/L; Repetição: 2,-,-,"1,18",-,-,-
convencional,suspensão,Entrada: 2g/L; Repetição: 3,-,-,"1,36",-,-,-
convencional,suspensão,Entrada: 2g/L; Repetição: 4,-,-,"2,01",-,-,-
convencional,suspensão,Entrada: 2g/L; Repetição: 5,-,-,"0,98",-,-,-
convencional,suspensão,Entrada: 10g/L; Repetição: 1,-,-,"4,06",-,-,-
convencional,suspensão,Entrada: 10g/L; Repetição: 2,-,-,"6,68",-,-,-
convencional,suspensão,Entrada: 10g/L; Repetição: 3,-,-,"4,81",-,-,-
convencional,suspensão,Entrada: 10g/L; Repetição: 4,-,-,"4,26",-,-,-
convencional,suspensão,Entrada: 10g/L; Repetição: 5,-,-,"4,62",-,-,-
convencional,suspensão,Entrada: 50g/L; Repetição: 1,-,-,"25,55",-,-,-
convencional,suspensão,Entrada: 50g/L; Repetição: 2,-,-,"58,65",-,-,-
convencional,suspensão,Entrada: 50g/L; Repetição: 3,-,-,"44,73",-,-,-
convencional,suspensão,Entrada: 50g/L; Repetição: 4,-,-,"32,36",-,-,-
convencional,suspensão,Entrada: 50g/L; Repetição: 5,-,-,"16,98",-,-,-
fracionador,água,Entrada: 100mL; Saída: A; Repetição: 1,-,-,-,"48,00",-,-
fracionador,água,Entrada: 100mL; Saída: A; Repetição: 2,-,-,-,"44,00",-,-
fracionador,água,Entrada: 100mL; Saída: A; Repetição: 3,-,-,-,"47,00",-,-
fracionador,água,Entrada: 100mL; Saída: A; Repetição: 4,-,-,-,"45,50",-,-
fracionador,água,Entrada: 100mL; Saída: A; Repetição: 5,-,-,-,"42,00",-,-
fracionador,água,Entrada: 100mL; Saída: B; Repetição: 1,-,-,-,"50,00",-,-
fracionador,água,Entrada: 100mL; Saída: B; Repetição: 2,-,-,-,"54,00",-,-
fracionador,água,Entrada: 100mL; Saída: B; Repetição: 3,-,-,-,"51,50",-,-
fracionador,água,Entrada: 100mL; Saída: B; Repetição: 4,-,-,-,"53,00",-,-
